2021/06/23 15:49:00+00,Lake Okeechobee - L006,PalmBeach,No,No visible BGA,26.82255,-80.78336,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 15:27:00+00,Lake Okeechobee - PALMOUT3,PalmBeach,Yes,"Medium density BGA oberved, bright green in color, interspersed throughout water column, no discernable boundaries",26.85964,-80.86878,Dominant taxon: Microcystis aeruginosa,8.4,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2441/attachments/2217?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/23 15:12:00+00,Lake Okeechobee - PALMOUT2,Hendry,Yes,"	Medium density BGA oberved, bright green in color, interspersed throughout water column, no discernable boundaries",26.84939,-80.89341,Dominant taxon: Microcystis aeruginosa,4.7,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2440/attachments/2216?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/23 14:58:00+00,Lake Okeechobee - PALMOUT1,Hendry,No,No visible BGA.,26.83999,-80.9198,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 14:45:00+00,Lake Melva,Broward,No,,26.1480011104481,-80.1210874936657,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,,
2021/06/23 14:44:00+00,Lake Okeechobee - PALMOUT,Glades,No,No visible BGA.,26.83197,-80.94151,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 14:29:59+00,Blue Cypress Lake - Center (BCL),IndianRiver,No,,27.7266,-80.7536,Dominant taxon: Microcystis wesenbergii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No,,
2021/06/23 14:16:59+00,Lake Okeechobee - LZ30,PalmBeach,No,No visible BGA.,26.79757,-80.85939,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,,
2021/06/23 13:57:59+00,Lake Okeechobee - POLE3S,PalmBeach,No,No visible BGA.,26.73365,-80.83975,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 13:39:00+00,Lake Okeechobee - RITTAE2,PalmBeach,No,No visible BGA,26.72981,-80.78961,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 13:18:59+00,Lake Okeechobee - LZ25A,PalmBeach,No,No visible BGA,26.74486,-80.76962,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 13:02:59+00,Lake Okeechobee - L007,PalmBeach,No,No visible BGA,26.77007,-80.784,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,,
2021/06/23 12:30:00+00,Lake Okeechobee - PELBAY3,PalmBeach,No,No visible BGA,26.77519,-80.70824,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,,
2021/06/22 16:53:00+00,Lake Okeechobee - KBARSE,Okeechobee,Yes,,Bright green BGA observed in high density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.08196,-80.81412,Dominant taxon: Microcystis aeruginosa,31,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2430/attachments/2209?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 16:25:00+00,Lake Okeechobee - POLESOUT,Glades,No,No visible BGA.,27.03688,-80.91575,Dominant taxon: Cylindrospermopsis raciborskii,0.51 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/22 16:12:00+00,Lake Okeechobee - POLESOUT1,Glades,Yes,Bright green BGA observed in low density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.02548,-80.89883,Dominant taxon: Microcystis aeruginosa,6.9,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2423/attachments/2204?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/22 16:10:00+00,Tampa Bay - Piney 20,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.729,-82.4987,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 16:02:00+00,Lake Okeechobee - POLESOUT2,Okeechobee,No,No visible BGA.,27.0036431342086,-80.8792231553408,Dominant taxon: Microcystis aeruginosa,0.34 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/22 15:55:00+00,Tampa Bay - Piney 19,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.7238,-82.5338,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 15:48:00+00,Lake Okeechobee - POLESOUT3,Okeechobee,Yes,,Bright green BGA observed in low density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,26.99327,-80.86611,Dominant taxon: Microcystis aeruginosa,6.3,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2421/attachments/2203?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 15:20:00+00,Tampa Bay - Piney 17,Pinellas,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.69339,-82.55901,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 15:17:59+00,Lake Okeechobee - L005,Glades,No,No visible BGA.,26.95687,-80.97191,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/22 15:04:59+00,Tampa Bay - Piney 9,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.605986,-82.601167,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 14:55:00+00,Lake Okeechobee - L008,Glades,Yes,,Bright green BGA observed in low density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,26.95649,-80.89144,Dominant taxon: Microcystis aeruginosa,1.8,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2420/attachments/2202?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 14:50:00+00,Tampa Bay - Piney 8,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.612975,-82.577642,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 14:35:00+00,Tampa Bay - Piney 6,Manatee,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.626,-82.5915,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 14:16:00+00,Lake Okeechobee - L004,Martin,Yes,,Bright green BGA observed in low density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,26.97773,-80.7073,Dominant taxon: Microcystis aeruginosa,5.9,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2433/attachments/2212?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 14:15:00+00,Tampa Bay - Piney 3,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.6434,-82.5771,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 14:15:00+00,Tampa Bay - Piney 18,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.682529,-82.49677,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 14:00:00+00,Buck Creek Canal - Baytree Dr,Charlotte,Yes,,26.9160461,-82.2553818,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2418/attachments/2200?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/22 14:00:00+00,Tampa Bay - Piney 7,Hillsborough,No,Algae identified by FWRI,toxin analysis performed by DEP.,27.6625,-82.563904,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,,No
2021/06/22 13:50:00+00,Lake Okeechobee - EASTSHORE,Martin,Yes,,Bright green BGA observed in medium density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.0467,-80.6524,Dominant taxon: Microcystis aeruginosa,81,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2432/attachments/2211?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 13:23:00+00,Lake Okeechobee - NCENTER,Okeechobee,Yes,Bright green BGA observed in low density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.08892,-80.74241,Dominant taxon: Microcystis aeruginosa,4.4,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2429/attachments/2208?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/22 13:05:00+00,Lake Okeechobee - NES135,Okeechobee,Yes,,Bright green BGA observed in medium density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.10895,-80.69448,Dominant taxon: Microcystis aeruginosa,21,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2431/attachments/2210?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 12:38:00+00,Caloosahatchee River - Alva Boat Ramp,Lee,Yes,,26.7138,-81.6061,Dominant taxon: Microcystis aeruginosa,0.66 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,Yes,,,
2021/06/22 12:36:59+00,Lake Okeechobee - L001,Okeechobee,Yes,Bright green BGA observed in medium density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.13921,-80.78905,Dominant taxon: Microcystis aeruginosa,7.8,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2428/attachments/2207?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/22 12:16:00+00,Lake Okeechobee - NES191,Okeechobee,Yes,Bright green BGA observed in medium density clumps with undefined boundaries. BGA is suspended within 10cm of surface.,27.18663,-80.77117,Dominant taxon: Microcystis aeruginosa,31,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2427/attachments/2206?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
2021/06/22 11:55:00+00,Lake Okeechobee - LZ2,Okeechobee,Yes,"	Green, low density BGA observed with undefined boundaries. BGA is suspended within 10cm of surface.",27.18328,-80.82526,mixed algae,no dominant species in sample,0.77 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2426/attachments/2205?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,
2021/06/22 11:25:00+00,Lake Okeechobee - KISSR0.0,Okeechobee,No,No visible BGA.,27.1414,-80.84648,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/21 18:27:59+00,Lake Willisara - Center,Orange,Yes,,28.5079299,-81.3613963,Dominant taxon: Microcystis sp.,0.29 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2411/attachments/2191?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
